CustomerName,Total,RegisterNumber,SalesPersonID
Pip Jett,15518.8,GKN534,MK201
Pip Jett,17194,ALP394,MK201
Pip Jett,24988,NT6776,MK201
Pip Jett,42888,KGH334,MK201
Pip Jett,56388,PHG902,KK634
Pip Jett,11994,GLM123,MK201
Pip Jett,14094,OM1122,KK634
Pip Jett,13794,RS3456,KK634
Pip Jett,11994,ZHU123,BP301
Pip Jett,50262,PRH345,BP301
Pip Jett,21594,SUT143,MK201
Pip Jett,45994,GBR553,BP301
Pip Jett,22188,LQRT67,KC312
Pip Jett,29928,SALES1,KC312
Pip Jett,63488,LMV541,BP301
Pip Jett,27986.8,NIS123,KC312
Pip Jett,62986.8,TGY683,KH981
Pip Jett,13594,GTF098,KK634
Pip Jett,21594,OMG765,KH981


PL/SQL procedure successfully completed.

